pointx_class,Group Description,Category Description,Class,Class Description
7380502,07 Manufacturing and production,38 Extractive industries,502,Ore mining
7380503,07 Manufacturing and production,38 Extractive industries,503,Peat extraction
7380504,07 Manufacturing and production,38 Extractive industries,504,"Sand, gravel and clay extraction and merchants"
7380506,07 Manufacturing and production,38 Extractive industries,506,Stone quarrying and preparation
7380507,07 Manufacturing and production,38 Extractive industries,507,Unspecified quarries or mines
2070095,02 Commercial services,07 Contract services,95,Agricultural contractors
2070096,02 Commercial services,07 Contract services,96,Aircraft charters
2070098,02 Commercial services,07 Contract services,98,Catering services
2070100,02 Commercial services,07 Contract services,100,Contract cleaning services
2070101,02 Commercial services,07 Contract services,101,Display and window dressers
2070102,02 Commercial services,07 Contract services,102,Drain and sewage clearance
2070105,02 Commercial services,07 Contract services,105,Linen hire and washroom services
2070107,02 Commercial services,07 Contract services,107,Office services
2070108,02 Commercial services,07 Contract services,108,Packers
2070109,02 Commercial services,07 Contract services,109,Pest and vermin control
4250825,04 Sport and entertainment,"25 Venues, stage and screen",825,Adult venues
4250308,04 Sport and entertainment,"25 Venues, stage and screen",308,Cinemas
4250762,04 Sport and entertainment,"25 Venues, stage and screen",762,Conference and exhibition centres
4250311,04 Sport and entertainment,"25 Venues, stage and screen",311,Discos
4250312,04 Sport and entertainment,"25 Venues, stage and screen",312,Nightclubs
4250314,04 Sport and entertainment,"25 Venues, stage and screen",314,Social clubs
4250315,04 Sport and entertainment,"25 Venues, stage and screen",315,Theatres and concert halls
4220277,04 Sport and entertainment,22 Gambling,277,Amusement parks and arcades
4220278,04 Sport and entertainment,22 Gambling,278,Bingo halls
4220279,04 Sport and entertainment,22 Gambling,279,Bookmakers
4220280,04 Sport and entertainment,22 Gambling,280,Casinos
7400522,07 Manufacturing and production,40 Foodstuffs,522,Alcoholic drinks 
7400523,07 Manufacturing and production,40 Foodstuffs,523,"Animal feeds, pet foods, hay and straw "
7400524,07 Manufacturing and production,40 Foodstuffs,524,Baking and confectionery 
7400530,07 Manufacturing and production,40 Foodstuffs,530,Catering and non-specific food products 
7400525,07 Manufacturing and production,40 Foodstuffs,525,Dairy products
7400526,07 Manufacturing and production,40 Foodstuffs,526,"Fish, meat and poultry products"
7400528,07 Manufacturing and production,40 Foodstuffs,528,"Milling, refining and food additives"
7400529,07 Manufacturing and production,40 Foodstuffs,529, Non-alcoholic drinks
6330418,06 Public infrastructure,33 Central and local government,418,Job centres
6330416,06 Public infrastructure,33 Central and local government,416,Local government
6330422,06 Public infrastructure,33 Central and local government,422,Police stations
6330429,06 Public infrastructure,33 Central and local government,429,Social service activities
6330404,06 Public infrastructure,33 Central and local government,404,Armed services
6330415,06 Public infrastructure,33 Central and local government,415,Central government
6330407,06 Public infrastructure,33 Central and local government,407,Coastguard stations
6330408,06 Public infrastructure,33 Central and local government,408,Consular services
6330409,06 Public infrastructure,33 Central and local government,409,"Courts, court services and tribunals"
6330411,06 Public infrastructure,33 Central and local government,411,Driving test centres
6330412,06 Public infrastructure,33 Central and local government,412,Embassies and consulates
6330414,06 Public infrastructure,33 Central and local government,414,Fire brigade stations
6330830,06 Public infrastructure,33 Central and local government,830,Foreign country support activities
6330419,06 Public infrastructure,33 Central and local government,419,"Members of parliament and members of
European parliament"
6330424,06 Public infrastructure,33 Central and local government,424,Prisons
6330425,06 Public infrastructure,33 Central and local government,425,Probation offices and police support services
6330426,06 Public infrastructure,33 Central and local government,426,Registrars offices
6330417,06 Public infrastructure,33 Central and local government,417,Revenue and customs offices
6330431,06 Public infrastructure,33 Central and local government,431,Tribunals
4210271,04 Sport and entertainment,21 Sport and entertainment support services,271, Children's activity centres
4210273,04 Sport and entertainment,21 Sport and entertainment support services,273,Entertainment services
4210274,04 Sport and entertainment,21 Sport and entertainment support services,274,Firework related services
4210275,04 Sport and entertainment,21 Sport and entertainment support services,275,Funfair services
4210276,04 Sport and entertainment,21 Sport and entertainment support services,276,Mobile discos
4210820,04 Sport and entertainment,21 Sport and entertainment support services,820,Motorsport services
7390508,07 Manufacturing and production,39 Farming,508,Animal breeders (not horses) 
7390509,07 Manufacturing and production,39 Farming,509,Arable farming 
7390510,07 Manufacturing and production,39 Farming,510,Bee-keepers 
7390511,07 Manufacturing and production,39 Farming,511,Dairy farming 
7390512,07 Manufacturing and production,39 Farming,512,Fish and shellfish 
7390513,07 Manufacturing and production,39 Farming,513,Forestry 
7390514,07 Manufacturing and production,39 Farming,514,"Fruit, flower and vegetable growers"
7390515,07 Manufacturing and production,39 Farming,515,Hoppers and silos
7390516,07 Manufacturing and production,39 Farming,516,Horse breeders and dealers
7390517,07 Manufacturing and production,39 Farming,517,Livestock farming
7390518,07 Manufacturing and production,39 Farming,518,Mixed or unspecified farming
7390520,07 Manufacturing and production,39 Farming,520,"Poultry farming, equipment and supplies"
7390521,07 Manufacturing and production,39 Farming,521,Sheep dips and washes
1010003,"01 Accommodation, eating and drinking",01 Accommodation,3,"Bed and breakfast and backpacker
accommodation"
1010002,"01 Accommodation, eating and drinking",01 Accommodation,2,"Camping, caravanning, mobile homes, holiday
parks and centres"
1010005,"01 Accommodation, eating and drinking",01 Accommodation,5,Hostels and refuges for the homeless
1010006,"01 Accommodation, eating and drinking",01 Accommodation,6,"Hotels, motels, country houses and inns"
1010007,"01 Accommodation, eating and drinking",01 Accommodation,7,Self catering
1010008,"01 Accommodation, eating and drinking",01 Accommodation,8,Timeshare
1010009,"01 Accommodation, eating and drinking",01 Accommodation,9,Youth accommodation
5290356,05 Education and health,29 Health support services,356,Ambulance and medical transportation services
5290357,05 Education and health,29 Health support services,357,Blood transfusion service
5290358,05 Education and health,29 Health support services,358,Counselling and advice services
5290359,05 Education and health,29 Health support services,359,Health authorities
5290106,05 Education and health,29 Health support services,106,Medical equipment rental and leasing
5290361,05 Education and health,29 Health support services,361,Medical waste disposal services
5290362,05 Education and health,29 Health support services,362,Pregnancy related services and help centres
5290363,05 Education and health,29 Health support services,363,X-ray services
10570731,10 Transport,"57 Public transport, stations and infrastructure",731,"Bus and coach stations, depots and companies"
10570794,10 Transport,"57 Public transport, stations and infrastructure",794,London Underground entrances
10570738,10 Transport,"57 Public transport, stations and infrastructure",738,"Railway stations, junctions and halts"
10570758,10 Transport,"57 Public transport, stations and infrastructure",758,Taxi ranks
10570756,10 Transport,"57 Public transport, stations and infrastructure",756,"Tram, metro and light railway stations and stops"
10570761,10 Transport,"57 Public transport, stations and infrastructure",761,Underground network stations
2120199,02 Commercial services,12 Recycling services,199, Clearance and salvage dealers
2120198,02 Commercial services,12 Recycling services,198,Rag merchants
2120196,02 Commercial services,12 Recycling services,196,"Recycling, reclamation and disposal"
2120200,02 Commercial services,12 Recycling services,200,Scrap metal dealers and breakers yards
2120202,02 Commercial services,12 Recycling services,202,Waste paper merchants
3190257,03 Attractions,19 Landscape features,257,Designated scenic features
3190259,03 Attractions,19 Landscape features,259,Trigonometric points
5260316,05 Education and health,26 Animal welfare,316,Animal clipping and grooming
5260317,05 Education and health,26 Animal welfare,317,Dog training
5260318,05 Education and health,26 Animal welfare,318,Horse training
5260319,05 Education and health,26 Animal welfare,319,Kennels and catteries
5260320,05 Education and health,26 Animal welfare,320,Pet cemeteries and crematoria
5260323,05 Education and health,26 Animal welfare,323,Veterinary pharmacies
5260322,05 Education and health,26 Animal welfare,322, Veterinarians and animal hospitals
7370464,07 Manufacturing and production,37 Consumer products,464," Baby, nursery and playground equipment "
7370790,07 Manufacturing and production,37 Consumer products,790,"Bathroom fixtures, fittings and sanitary
equipment"
7370465,07 Manufacturing and production,37 Consumer products,465, Beds and bedding 
7370466,07 Manufacturing and production,37 Consumer products,466,Brushes 
7370467,07 Manufacturing and production,37 Consumer products,467,Candles 
7370468,07 Manufacturing and production,37 Consumer products,468,Canvas goods 
7370470,07 Manufacturing and production,37 Consumer products,470,"Carpets, flooring, rugs and soft furnishings "
7370472,07 Manufacturing and production,37 Consumer products,472,China and glassware 
7370473,07 Manufacturing and production,37 Consumer products,473,"Clothing, components and accessories "
7370785,07 Manufacturing and production,37 Consumer products,785,Conservatories 
7370474,07 Manufacturing and production,37 Consumer products,474,Cookers and stoves – non-electrical 
7370475,07 Manufacturing and production,37 Consumer products,475,"Cosmetics, toiletries and perfumes "
7370476,07 Manufacturing and production,37 Consumer products,476,Curtains and blinds 
7370477,07 Manufacturing and production,37 Consumer products,477,Cutlery and tableware 
7370478,07 Manufacturing and production,37 Consumer products,478,Disability and mobility equipment 
7370486,07 Manufacturing and production,37 Consumer products,486,Disposable products 
7370782,07 Manufacturing and production,37 Consumer products,782,Fireplaces and mantelpieces 
7370480,07 Manufacturing and production,37 Consumer products,480,Footwear
7370481,07 Manufacturing and production,37 Consumer products,481,Furniture
7370482,07 Manufacturing and production,37 Consumer products,482,Garden goods
7370483,07 Manufacturing and production,37 Consumer products,483,Giftware
7370485,07 Manufacturing and production,37 Consumer products,485,"Hobby, sports and pastime products"
7370487,07 Manufacturing and production,37 Consumer products,487,"Jewellery, gems, clocks and watches"
7370488,07 Manufacturing and production,37 Consumer products,488,Lampshades and lighting
7370489,07 Manufacturing and production,37 Consumer products,489,Leather products
7370490,07 Manufacturing and production,37 Consumer products,490,Lingerie and hosiery
7370491,07 Manufacturing and production,37 Consumer products,491,"Luggage, bags, umbrellas and travel accessories"
7370471,07 Manufacturing and production,37 Consumer products,471,"Medals, trophies, ceremonial and religious
goods"
7370493,07 Manufacturing and production,37 Consumer products,493,Musical instruments
7370494,07 Manufacturing and production,37 Consumer products,494,Photographic and optical equipment
7370479,07 Manufacturing and production,37 Consumer products,479, Refrigeration and freezing appliances
7370495,07 Manufacturing and production,37 Consumer products,495,Saunas and sunbeds
7370497,07 Manufacturing and production,37 Consumer products,497,"Tents, marquees and camping equipment"
7370498,07 Manufacturing and production,37 Consumer products,498,Tobacco products
5270324,05 Education and health,27 Education support services,324,Education authorities
5270325,05 Education and health,27 Education support services,325,Education services
5270326,05 Education and health,27 Education support services,326,Examination boards
5270800,05 Education and health,27 Education support services,800,Secure units
4230282,04 Sport and entertainment,23 Outdoor pursuits,282,Angling and sports fishing
4230283,04 Sport and entertainment,23 Outdoor pursuits,283,"Combat, laser and paintball games"
4230284,04 Sport and entertainment,23 Outdoor pursuits,284,Hot air ballooning
4230770,04 Sport and entertainment,23 Outdoor pursuits,770,Outdoor pursuit organisers and equipment
4230285,04 Sport and entertainment,23 Outdoor pursuits,285,Parachuting and bungee jumping
4230286,04 Sport and entertainment,23 Outdoor pursuits,286,Paragliding and hang-gliding
4230321,04 Sport and entertainment,23 Outdoor pursuits,321,"Riding schools, livery stables and equestrian centres"
4230287,04 Sport and entertainment,23 Outdoor pursuits,287,Water sports
3160231,03 Attractions,16 Botanical and zoological,231,Aquaria and sea life centres
3160232,03 Attractions,16 Botanical and zoological,232,"Bird reserves, collections and sanctuaries"
3160233,03 Attractions,16 Botanical and zoological,233,Butterfly farms
3160235,03 Attractions,16 Botanical and zoological,235,Farm-based attractions
3160236,03 Attractions,16 Botanical and zoological,236,Horticultural attractions
3160237,03 Attractions,16 Botanical and zoological,237,Salmon ladders
3160239,03 Attractions,16 Botanical and zoological,239,Zoos and animal collections
3200268,03 Attractions,20 Tourism,268,Information centres
3200263,03 Attractions,20 Tourism,263,"Laseria, observatories and planetaria"
3200264,03 Attractions,20 Tourism,264,Model villages
3200265,03 Attractions,20 Tourism,265,"Railways (heritage, steam and miniature)"
3200267,03 Attractions,20 Tourism,267,"Sightseeing, tours, viewing and visitor centres"
3200266,03 Attractions,20 Tourism,266,Theme and adventure parks
3200268,03 Attractions,20 Tourism,268,Tourist information centres
3200269,03 Attractions,20 Tourism,269,Unspecified and other attractions
6350445,06 Public infrastructure,35 Organisations,445,Animal welfare organisations 
6350816,06 Public infrastructure,35 Organisations,816,Charitable organisations 
6350769,06 Public infrastructure,35 Organisations,769,Community networks and projects 
6350817,06 Public infrastructure,35 Organisations,817,Conservation Organisations 
6350446,06 Public infrastructure,35 Organisations,446,Fan clubs and associations 
6350448,06 Public infrastructure,35 Organisations,448,Institutes and professional organisations
6350449,06 Public infrastructure,35 Organisations,449,Political parties and related organisations
6350450,06 Public infrastructure,35 Organisations,450,Religious organisations
6350447,06 Public infrastructure,35 Organisations,447,Sports clubs and associations
6350452,06 Public infrastructure,35 Organisations,452,Youth organisations
10530727,10 Transport,53 Air,727,Aeronautical features
10530728,10 Transport,53 Air,728,Airports and landing strips
10530729,10 Transport,53 Air,729,Helipads
10540751,10 Transport,56 Water,751,Aqueducts
10540760,10 Transport,56 Water,760,Ferries and ferry terminals
10540752,10 Transport,56 Water,752,Locks
10540753,10 Transport,56 Water,753,Moorings and unloading facilities
10540754,10 Transport,56 Water,754," Rivers and canal organisations and
infrastructure"
10540755,10 Transport,56 Water,755,"Weirs, sluices and dams"
